id	provided_identifier
1665154	oai:tms.ycba.yale.edu:1000
1665155	oai:tms.ycba.yale.edu:1001
1665156	oai:tms.ycba.yale.edu:1002
1665157	oai:tms.ycba.yale.edu:1003
1665158	oai:tms.ycba.yale.edu:1004
1665159	oai:tms.ycba.yale.edu:1005
1665160	oai:tms.ycba.yale.edu:1006
1665161	oai:tms.ycba.yale.edu:10060
1665162	oai:tms.ycba.yale.edu:1007
1665163	oai:tms.ycba.yale.edu:10070
1665164	oai:tms.ycba.yale.edu:1008
1665165	oai:tms.ycba.yale.edu:1009
1665166	oai:tms.ycba.yale.edu:10095
1665167	oai:tms.ycba.yale.edu:10097
1665168	oai:tms.ycba.yale.edu:101
1665169	oai:tms.ycba.yale.edu:1010
1665170	oai:tms.ycba.yale.edu:10102
1665171	oai:tms.ycba.yale.edu:1011
1665172	oai:tms.ycba.yale.edu:1012
1665173	oai:tms.ycba.yale.edu:10127
1665174	oai:tms.ycba.yale.edu:1013
1665175	oai:tms.ycba.yale.edu:1014
1665176	oai:tms.ycba.yale.edu:10141
1665177	oai:tms.ycba.yale.edu:10142
1665178	oai:tms.ycba.yale.edu:10143
1665179	oai:tms.ycba.yale.edu:10144
1665180	oai:tms.ycba.yale.edu:10145
1665181	oai:tms.ycba.yale.edu:1015
1665182	oai:tms.ycba.yale.edu:1016
1665183	oai:tms.ycba.yale.edu:1017
1665184	oai:tms.ycba.yale.edu:10174
1665185	oai:tms.ycba.yale.edu:10176
1665186	oai:tms.ycba.yale.edu:1018
1665187	oai:tms.ycba.yale.edu:10186
1665188	oai:tms.ycba.yale.edu:10187
1665189	oai:tms.ycba.yale.edu:10188
1665190	oai:tms.ycba.yale.edu:10189
1665191	oai:tms.ycba.yale.edu:1019
1665192	oai:tms.ycba.yale.edu:10190
1665193	oai:tms.ycba.yale.edu:10191
1665194	oai:tms.ycba.yale.edu:10195
1665195	oai:tms.ycba.yale.edu:10196
1665196	oai:tms.ycba.yale.edu:102
1665197	oai:tms.ycba.yale.edu:1020
1665198	oai:tms.ycba.yale.edu:10200
1665199	oai:tms.ycba.yale.edu:10201
1665200	oai:tms.ycba.yale.edu:10202
1665201	oai:tms.ycba.yale.edu:10203
1665202	oai:tms.ycba.yale.edu:10204
1665203	oai:tms.ycba.yale.edu:10205
1665204	oai:tms.ycba.yale.edu:10206
1665205	oai:tms.ycba.yale.edu:10207
1665206	oai:tms.ycba.yale.edu:1021
1665207	oai:tms.ycba.yale.edu:1024
1665208	oai:tms.ycba.yale.edu:1025
1665209	oai:tms.ycba.yale.edu:1026
1665210	oai:tms.ycba.yale.edu:1027
1665211	oai:tms.ycba.yale.edu:1028
1665212	oai:tms.ycba.yale.edu:10280
1665213	oai:tms.ycba.yale.edu:10281
1665214	oai:tms.ycba.yale.edu:1029
1665215	oai:tms.ycba.yale.edu:1030
1665216	oai:tms.ycba.yale.edu:1031
1665217	oai:tms.ycba.yale.edu:1032
1665218	oai:tms.ycba.yale.edu:1033
1665219	oai:tms.ycba.yale.edu:1034
1665220	oai:tms.ycba.yale.edu:1035
1665221	oai:tms.ycba.yale.edu:1036
1665222	oai:tms.ycba.yale.edu:1037
1665223	oai:tms.ycba.yale.edu:10378
1665224	oai:tms.ycba.yale.edu:1038
1665225	oai:tms.ycba.yale.edu:10382
1665226	oai:tms.ycba.yale.edu:1039
1665227	oai:tms.ycba.yale.edu:1040
1665228	oai:tms.ycba.yale.edu:1041
1665229	oai:tms.ycba.yale.edu:1042
1665230	oai:tms.ycba.yale.edu:1043
1665231	oai:tms.ycba.yale.edu:1044
1665232	oai:tms.ycba.yale.edu:10441
1665233	oai:tms.ycba.yale.edu:10442
1665234	oai:tms.ycba.yale.edu:10443
1665235	oai:tms.ycba.yale.edu:10445
1665236	oai:tms.ycba.yale.edu:10446
1665237	oai:tms.ycba.yale.edu:10448
1665238	oai:tms.ycba.yale.edu:10449
1665239	oai:tms.ycba.yale.edu:1045
1665240	oai:tms.ycba.yale.edu:10450
1665241	oai:tms.ycba.yale.edu:10451
1665242	oai:tms.ycba.yale.edu:10452
1665243	oai:tms.ycba.yale.edu:10453
1665244	oai:tms.ycba.yale.edu:10454
1665245	oai:tms.ycba.yale.edu:10455
1665246	oai:tms.ycba.yale.edu:10456
1665247	oai:tms.ycba.yale.edu:10457
1665248	oai:tms.ycba.yale.edu:10458
1665249	oai:tms.ycba.yale.edu:10459
1665250	oai:tms.ycba.yale.edu:1046
1665251	oai:tms.ycba.yale.edu:10461
1665252	oai:tms.ycba.yale.edu:10462
1665253	oai:tms.ycba.yale.edu:1047
1665254	oai:tms.ycba.yale.edu:1048
1665255	oai:tms.ycba.yale.edu:1049
1665256	oai:tms.ycba.yale.edu:105
1665257	oai:tms.ycba.yale.edu:1050
1665258	oai:tms.ycba.yale.edu:10504
1665259	oai:tms.ycba.yale.edu:10507
1665260	oai:tms.ycba.yale.edu:1051
1665261	oai:tms.ycba.yale.edu:10513
1665262	oai:tms.ycba.yale.edu:10514
1665263	oai:tms.ycba.yale.edu:10515
1665264	oai:tms.ycba.yale.edu:1052
1665265	oai:tms.ycba.yale.edu:1053
1665266	oai:tms.ycba.yale.edu:1054
1665267	oai:tms.ycba.yale.edu:10543
1665268	oai:tms.ycba.yale.edu:10544
1665269	oai:tms.ycba.yale.edu:10545
1665270	oai:tms.ycba.yale.edu:10547
1665271	oai:tms.ycba.yale.edu:10548
1665272	oai:tms.ycba.yale.edu:10549
1665273	oai:tms.ycba.yale.edu:1055
1665274	oai:tms.ycba.yale.edu:10550
1665275	oai:tms.ycba.yale.edu:10551
1665276	oai:tms.ycba.yale.edu:10552
1665277	oai:tms.ycba.yale.edu:10553
1665278	oai:tms.ycba.yale.edu:10554
1665279	oai:tms.ycba.yale.edu:10555
1665280	oai:tms.ycba.yale.edu:10556
1665281	oai:tms.ycba.yale.edu:10557
1665282	oai:tms.ycba.yale.edu:10558
1665283	oai:tms.ycba.yale.edu:1056
1665284	oai:tms.ycba.yale.edu:1057
1665285	oai:tms.ycba.yale.edu:1058
1665286	oai:tms.ycba.yale.edu:1059
1665287	oai:tms.ycba.yale.edu:10594
1665288	oai:tms.ycba.yale.edu:10595
1665289	oai:tms.ycba.yale.edu:10596
1665290	oai:tms.ycba.yale.edu:10599
1665291	oai:tms.ycba.yale.edu:106
1665292	oai:tms.ycba.yale.edu:1060
1665293	oai:tms.ycba.yale.edu:10607
1665294	oai:tms.ycba.yale.edu:10608
1665295	oai:tms.ycba.yale.edu:10609
1665296	oai:tms.ycba.yale.edu:1061
1665297	oai:tms.ycba.yale.edu:10610
1665298	oai:tms.ycba.yale.edu:1062
1665299	oai:tms.ycba.yale.edu:10620
1665300	oai:tms.ycba.yale.edu:10621
1665301	oai:tms.ycba.yale.edu:10626
1665302	oai:tms.ycba.yale.edu:10627
1665303	oai:tms.ycba.yale.edu:10629
1665304	oai:tms.ycba.yale.edu:1063
1665305	oai:tms.ycba.yale.edu:10630
1665306	oai:tms.ycba.yale.edu:10631
1665307	oai:tms.ycba.yale.edu:10634
1665308	oai:tms.ycba.yale.edu:10635
1665309	oai:tms.ycba.yale.edu:10636
1665310	oai:tms.ycba.yale.edu:10637
1665311	oai:tms.ycba.yale.edu:1064
1665312	oai:tms.ycba.yale.edu:10641
1665313	oai:tms.ycba.yale.edu:1065
1665314	oai:tms.ycba.yale.edu:10665
1665315	oai:tms.ycba.yale.edu:10666
1665316	oai:tms.ycba.yale.edu:10667
1665317	oai:tms.ycba.yale.edu:10669
1665318	oai:tms.ycba.yale.edu:1067
1665319	oai:tms.ycba.yale.edu:10670
1665320	oai:tms.ycba.yale.edu:10671
1665321	oai:tms.ycba.yale.edu:10672
1665322	oai:tms.ycba.yale.edu:1068
1665323	oai:tms.ycba.yale.edu:10680
1665324	oai:tms.ycba.yale.edu:10683
1665325	oai:tms.ycba.yale.edu:10685
1665326	oai:tms.ycba.yale.edu:10686
1665327	oai:tms.ycba.yale.edu:1069
1665328	oai:tms.ycba.yale.edu:10697
1665329	oai:tms.ycba.yale.edu:10698
1665330	oai:tms.ycba.yale.edu:10699
1665331	oai:tms.ycba.yale.edu:107
1665332	oai:tms.ycba.yale.edu:1070
1665333	oai:tms.ycba.yale.edu:10700
1665334	oai:tms.ycba.yale.edu:10701
1665335	oai:tms.ycba.yale.edu:10702
1665336	oai:tms.ycba.yale.edu:10703
1665337	oai:tms.ycba.yale.edu:1071
1665338	oai:tms.ycba.yale.edu:1072
1665339	oai:tms.ycba.yale.edu:1073
1665340	oai:tms.ycba.yale.edu:10737
1665341	oai:tms.ycba.yale.edu:10738
1665342	oai:tms.ycba.yale.edu:10739
1665343	oai:tms.ycba.yale.edu:1074
1665344	oai:tms.ycba.yale.edu:10740
1665345	oai:tms.ycba.yale.edu:10741
1665346	oai:tms.ycba.yale.edu:10742
1665347	oai:tms.ycba.yale.edu:10743
1665348	oai:tms.ycba.yale.edu:10744
1665349	oai:tms.ycba.yale.edu:10745
1665350	oai:tms.ycba.yale.edu:10746
1665351	oai:tms.ycba.yale.edu:1075
1665352	oai:tms.ycba.yale.edu:10750
1665353	oai:tms.ycba.yale.edu:10751
1665354	oai:tms.ycba.yale.edu:10752
1665355	oai:tms.ycba.yale.edu:10753
1665356	oai:tms.ycba.yale.edu:10754
1665357	oai:tms.ycba.yale.edu:1076
1665358	oai:tms.ycba.yale.edu:10761
1665359	oai:tms.ycba.yale.edu:10762
1665360	oai:tms.ycba.yale.edu:10763
1665361	oai:tms.ycba.yale.edu:10766
1665362	oai:tms.ycba.yale.edu:10767
1665363	oai:tms.ycba.yale.edu:10768
1665364	oai:tms.ycba.yale.edu:10769
1665365	oai:tms.ycba.yale.edu:1077
1665366	oai:tms.ycba.yale.edu:10770
1665367	oai:tms.ycba.yale.edu:10771
1665368	oai:tms.ycba.yale.edu:10772
1665369	oai:tms.ycba.yale.edu:10773
1665370	oai:tms.ycba.yale.edu:10774
1665371	oai:tms.ycba.yale.edu:1078
1665372	oai:tms.ycba.yale.edu:10780
1665373	oai:tms.ycba.yale.edu:1079
1665374	oai:tms.ycba.yale.edu:108
1665375	oai:tms.ycba.yale.edu:1080
1665376	oai:tms.ycba.yale.edu:10806
1665377	oai:tms.ycba.yale.edu:10809
1665378	oai:tms.ycba.yale.edu:1081
1665379	oai:tms.ycba.yale.edu:10810
1665380	oai:tms.ycba.yale.edu:1082
1665381	oai:tms.ycba.yale.edu:10824
1665382	oai:tms.ycba.yale.edu:10825
1665383	oai:tms.ycba.yale.edu:10826
1665384	oai:tms.ycba.yale.edu:10827
1665385	oai:tms.ycba.yale.edu:10828
1665386	oai:tms.ycba.yale.edu:10829
1665387	oai:tms.ycba.yale.edu:1083
1665388	oai:tms.ycba.yale.edu:10830
1665389	oai:tms.ycba.yale.edu:10831
1665390	oai:tms.ycba.yale.edu:1084
1665391	oai:tms.ycba.yale.edu:10846
1665392	oai:tms.ycba.yale.edu:10847
1665393	oai:tms.ycba.yale.edu:10848
1665394	oai:tms.ycba.yale.edu:10849
1665395	oai:tms.ycba.yale.edu:1085
1665396	oai:tms.ycba.yale.edu:10850
1665397	oai:tms.ycba.yale.edu:10851
1665398	oai:tms.ycba.yale.edu:10852
1665399	oai:tms.ycba.yale.edu:10853
1665400	oai:tms.ycba.yale.edu:10854
1665401	oai:tms.ycba.yale.edu:10855
1665402	oai:tms.ycba.yale.edu:10856
1665403	oai:tms.ycba.yale.edu:10857
1665404	oai:tms.ycba.yale.edu:10858
1665405	oai:tms.ycba.yale.edu:10859
1665406	oai:tms.ycba.yale.edu:1086
1665407	oai:tms.ycba.yale.edu:10860
1665408	oai:tms.ycba.yale.edu:10861
1665409	oai:tms.ycba.yale.edu:10862
1665410	oai:tms.ycba.yale.edu:10863
1665411	oai:tms.ycba.yale.edu:10864
1665412	oai:tms.ycba.yale.edu:10865
1665413	oai:tms.ycba.yale.edu:10866
1665414	oai:tms.ycba.yale.edu:10867
1665415	oai:tms.ycba.yale.edu:10868
1665416	oai:tms.ycba.yale.edu:1087
1665417	oai:tms.ycba.yale.edu:10870
1665418	oai:tms.ycba.yale.edu:10871
1665419	oai:tms.ycba.yale.edu:10872
1665420	oai:tms.ycba.yale.edu:10873
1665421	oai:tms.ycba.yale.edu:10874
1665422	oai:tms.ycba.yale.edu:10875
1665423	oai:tms.ycba.yale.edu:10876
1665424	oai:tms.ycba.yale.edu:10877
1665425	oai:tms.ycba.yale.edu:1088
1665426	oai:tms.ycba.yale.edu:1089
1665427	oai:tms.ycba.yale.edu:10895
1665428	oai:tms.ycba.yale.edu:10896
1665429	oai:tms.ycba.yale.edu:10897
1665430	oai:tms.ycba.yale.edu:10898
1665431	oai:tms.ycba.yale.edu:10899
1665432	oai:tms.ycba.yale.edu:109
1665433	oai:tms.ycba.yale.edu:1090
1665434	oai:tms.ycba.yale.edu:10900
1665435	oai:tms.ycba.yale.edu:10901
1665436	oai:tms.ycba.yale.edu:10902
1665437	oai:tms.ycba.yale.edu:10903
1665438	oai:tms.ycba.yale.edu:10906
1665439	oai:tms.ycba.yale.edu:10907
1665440	oai:tms.ycba.yale.edu:10908
1665441	oai:tms.ycba.yale.edu:10909
1665442	oai:tms.ycba.yale.edu:1091
1665443	oai:tms.ycba.yale.edu:10910
1665444	oai:tms.ycba.yale.edu:10912
1665445	oai:tms.ycba.yale.edu:10914
1665446	oai:tms.ycba.yale.edu:10915
1665447	oai:tms.ycba.yale.edu:1092
1665448	oai:tms.ycba.yale.edu:10929
1665449	oai:tms.ycba.yale.edu:1093
1665450	oai:tms.ycba.yale.edu:10930
1665451	oai:tms.ycba.yale.edu:10931
1665452	oai:tms.ycba.yale.edu:10932
1665453	oai:tms.ycba.yale.edu:10933
1665454	oai:tms.ycba.yale.edu:10934
1665455	oai:tms.ycba.yale.edu:10935
1665456	oai:tms.ycba.yale.edu:10936
1665457	oai:tms.ycba.yale.edu:10937
1665458	oai:tms.ycba.yale.edu:10938
1665459	oai:tms.ycba.yale.edu:10939
1665460	oai:tms.ycba.yale.edu:1094
1665461	oai:tms.ycba.yale.edu:10944
1665462	oai:tms.ycba.yale.edu:10945
1665463	oai:tms.ycba.yale.edu:10948
1665464	oai:tms.ycba.yale.edu:1095
1665465	oai:tms.ycba.yale.edu:10959
1665466	oai:tms.ycba.yale.edu:1096
1665467	oai:tms.ycba.yale.edu:10961
1665468	oai:tms.ycba.yale.edu:10965
1665469	oai:tms.ycba.yale.edu:1097
1665470	oai:tms.ycba.yale.edu:1098
1665471	oai:tms.ycba.yale.edu:1099
1665472	oai:tms.ycba.yale.edu:1100
1665473	oai:tms.ycba.yale.edu:1101
1665474	oai:tms.ycba.yale.edu:1102
1665475	oai:tms.ycba.yale.edu:11028
1665476	oai:tms.ycba.yale.edu:11029
1665477	oai:tms.ycba.yale.edu:1103
1665478	oai:tms.ycba.yale.edu:11030
