id	provided_identifier
1671897	oai:orbis.library.yale.edu:4796100
1671898	oai:orbis.library.yale.edu:3416512
1671899	oai:orbis.library.yale.edu:3416837
1671900	oai:orbis.library.yale.edu:3476171
1671904	oai:orbis.library.yale.edu:169699
1671905	oai:orbis.library.yale.edu:3172437
1671906	oai:orbis.library.yale.edu:3172448
1671907	oai:orbis.library.yale.edu:3174685
1671908	oai:orbis.library.yale.edu:3195945
1671909	oai:orbis.library.yale.edu:3212424
1671910	oai:orbis.library.yale.edu:3212558
1671911	oai:orbis.library.yale.edu:3204068
1671912	oai:orbis.library.yale.edu:3204196
1671913	oai:orbis.library.yale.edu:3204797
1671914	oai:orbis.library.yale.edu:3204823
1671915	oai:orbis.library.yale.edu:3182865
1671916	oai:orbis.library.yale.edu:3182886
1671917	oai:orbis.library.yale.edu:3221329
1671918	oai:orbis.library.yale.edu:3243607
1671919	oai:orbis.library.yale.edu:3214084
1671920	oai:orbis.library.yale.edu:3214111
1671921	oai:orbis.library.yale.edu:3219429
1671922	oai:orbis.library.yale.edu:5972484
1671923	oai:orbis.library.yale.edu:5970634
1671924	oai:orbis.library.yale.edu:5973905
1671925	oai:orbis.library.yale.edu:6041577
1671926	oai:orbis.library.yale.edu:6047860
1671927	oai:orbis.library.yale.edu:4935507
1671928	oai:orbis.library.yale.edu:6102759
1671929	oai:orbis.library.yale.edu:6124242
1671930	oai:orbis.library.yale.edu:6098799
1671931	oai:orbis.library.yale.edu:6107581
1671932	oai:orbis.library.yale.edu:6113311
1671933	oai:orbis.library.yale.edu:6124808
1671934	oai:orbis.library.yale.edu:6130112
1671935	oai:orbis.library.yale.edu:2009384
1671936	oai:orbis.library.yale.edu:6100593
1671937	oai:orbis.library.yale.edu:6125966
1671938	oai:orbis.library.yale.edu:6142845
1671939	oai:orbis.library.yale.edu:4016721
1671940	oai:orbis.library.yale.edu:6096790
1671941	oai:orbis.library.yale.edu:6141127
1671942	oai:orbis.library.yale.edu:6203933
1671943	oai:orbis.library.yale.edu:2381103
1671944	oai:orbis.library.yale.edu:6152185
1671945	oai:orbis.library.yale.edu:6192922
1671946	oai:orbis.library.yale.edu:6206221
1671947	oai:orbis.library.yale.edu:6206535
1671948	oai:orbis.library.yale.edu:6206581
1671949	oai:orbis.library.yale.edu:6217098
1671950	oai:orbis.library.yale.edu:1253654
1671951	oai:orbis.library.yale.edu:5406740
1671952	oai:orbis.library.yale.edu:6146410
1671953	oai:orbis.library.yale.edu:582325
1671954	oai:orbis.library.yale.edu:582326
1671955	oai:orbis.library.yale.edu:582332
1671956	oai:orbis.library.yale.edu:582356
1671957	oai:orbis.library.yale.edu:582379
1671958	oai:orbis.library.yale.edu:582384
1671959	oai:orbis.library.yale.edu:582387
1671960	oai:orbis.library.yale.edu:582397
1671961	oai:orbis.library.yale.edu:582415
1671962	oai:orbis.library.yale.edu:582423
1671963	oai:orbis.library.yale.edu:582424
1671964	oai:orbis.library.yale.edu:582427
1671965	oai:orbis.library.yale.edu:582440
1671966	oai:orbis.library.yale.edu:582441
1671967	oai:orbis.library.yale.edu:582500
